+-------------------------------+-------------------------------+-----------------+-----------------+----------+--------+--------+-------+-------+------+------------+-------+----------+----------+--------------+---------------+
| sp1                           | sp2                           | grp1            | grp2            | theta    | prev1  | prev2  | n11   | n10   | n01  | same_group | n00   | min_cell | selected | years_shared | years_jaccard |
| themisto_gaudichaudii         | radiozoa                      | Amphipod        | Other           | 0.00000  | 0.1044 | 0.0741 | 249   | 2882  | 1974 | FALSE      | 24878 | 249      | FALSE    | 12           | 0.500         |
| small_calanoid_copepods       | egg_indet                     | Copepod         | Other           | 0.00000  | 0.8941 | 0.0739 | 2182  | 24627 | 34   | FALSE      | 3140  | 34       | FALSE    | 17           | 0.739         |
| oikopleura_sp                 | egg_indet                     | Appendicularian | Other           | 0.00000  | 0.4227 | 0.0739 | 1330  | 11343 | 886  | FALSE      | 16424 | 886      | FALSE    | 17           | 0.810         |
| limacina_sp                   | egg_indet                     | Pteropod        | Other           | 0.00000  | 0.2802 | 0.0739 | 707   | 7693  | 1509 | FALSE      | 20074 | 707      | FALSE    | 17           | 0.773         |
| clausocalanus_laticeps        | egg_indet                     | Copepod         | Other           | 0.00000  | 0.2775 | 0.0739 | 1015  | 7305  | 1201 | FALSE      | 20462 | 1015     | FALSE    | 16           | 0.941         |
| calanoides_acutus             | egg_indet                     | Copepod         | Other           | 0.00000  | 0.1624 | 0.0739 | 655   | 4213  | 1561 | FALSE      | 23554 | 655      | FALSE    | 17           | 0.773         |
| ostracoda_indet               | egg_indet                     | Other           | Other           | 0.00000  | 0.1587 | 0.0739 | 385   | 4374  | 1831 | TRUE       | 23393 | 385      | FALSE    | 17           | 0.850         |
| chaetognath_indet             | egg_indet                     | Chaetognath     | Other           | 0.00000  | 0.1168 | 0.0739 | 350   | 3153  | 1866 | FALSE      | 24614 | 350      | FALSE    | 17           | 0.850         |
| small_calanoid_copepods       | thysanoessa_macrura_f6        | Copepod         | Krill           | 0.00000  | 0.8941 | 0.0728 | 2157  | 24652 | 27   | FALSE      | 3147  | 27       | FALSE    | 15           | 0.652         |
| ctenocalanus_sp_cf_citer      | thysanoessa_macrura_f6        | Copepod         | Krill           | 0.00000  | 0.1998 | 0.0728 | 530   | 5461  | 1654 | FALSE      | 22338 | 530      | FALSE    | 11           | 0.647         |
| ostracoda_indet               | thysanoessa_macrura_f6        | Other           | Krill           | 0.00000  | 0.1587 | 0.0728 | 601   | 4158  | 1583 | FALSE      | 23641 | 601      | FALSE    | 15           | 0.750         |
| euphausiidae_furcilia_indet   | thysanoessa_macrura_f6        | Krill           | Krill           | 0.00000  | 0.1233 | 0.0728 | 380   | 3318  | 1804 | TRUE       | 24481 | 380      | FALSE    | 15           | 0.789         |
| hyperiidae_indet              | thysanoessa_macrura_f6        | Amphipod        | Krill           | 0.00000  | 0.1171 | 0.0728 | 407   | 3103  | 1777 | FALSE      | 24696 | 407      | FALSE    | 15           | 0.714         |
| chaetognath_indet             | thysanoessa_macrura_f6        | Chaetognath     | Krill           | 0.00000  | 0.1168 | 0.0728 | 429   | 3074  | 1755 | FALSE      | 24725 | 429      | FALSE    | 15           | 0.750         |
| metridia_lucens               | thysanoessa_macrura_f6        | Copepod         | Krill           | 0.00000  | 0.1060 | 0.0728 | 487   | 2692  | 1697 | FALSE      | 25107 | 487      | FALSE    | 15           | 0.789         |
| themisto_gaudichaudii         | thysanoessa_macrura_f6        | Amphipod        | Krill           | 0.00000  | 0.1044 | 0.0728 | 316   | 2815  | 1868 | FALSE      | 24984 | 316      | FALSE    | 15           | 0.625         |
| neocalanus_tonsus             | thysanoessa_macrura_f6        | Copepod         | Krill           | 0.00000  | 0.0930 | 0.0728 | 217   | 2570  | 1967 | FALSE      | 25229 | 217      | FALSE    | 15           | 0.938         |
| radiozoa                      | thysanoessa_macrura_f6        | Other           | Krill           | 0.00000  | 0.0741 | 0.0728 | 238   | 1985  | 1946 | FALSE      | 25814 | 238      | FALSE    | 10           | 0.588         |
| clausocalanus_brevipes        | ctenocalanus_sp_cf_citer_2    | Copepod         | Copepod         | 0.00000  | 0.3716 | 0.0657 | 1018  | 10123 | 952  | TRUE       | 17890 | 952      | FALSE    | 6            | 0.375         |
| rhincalanus_gigas_nauplius    | ctenocalanus_sp_cf_citer_2    | Copepod         | Copepod         | 0.00000  | 0.2821 | 0.0657 | 834   | 7625  | 1136 | TRUE       | 20388 | 834      | FALSE    | 6            | 0.300         |
| limacina_sp                   | ctenocalanus_sp_cf_citer_2    | Pteropod        | Copepod         | 0.00000  | 0.2802 | 0.0657 | 688   | 7712  | 1282 | FALSE      | 20301 | 688      | FALSE    | 6            | 0.273         |
| calanoides_acutus             | ctenocalanus_sp_cf_citer_2    | Copepod         | Copepod         | 0.00000  | 0.1624 | 0.0657 | 409   | 4459  | 1561 | TRUE       | 23554 | 409      | FALSE    | 6            | 0.273         |
| hyperiidae_indet              | ctenocalanus_sp_cf_citer_2    | Amphipod        | Copepod         | 0.00000  | 0.1171 | 0.0657 | 329   | 3181  | 1641 | FALSE      | 24832 | 329      | FALSE    | 6            | 0.286         |
| chaetognath_indet             | ctenocalanus_sp_cf_citer_2    | Chaetognath     | Copepod         | 0.00000  | 0.1168 | 0.0657 | 260   | 3243  | 1710 | FALSE      | 24770 | 260      | FALSE    | 6            | 0.300         |
| themisto_gaudichaudii         | ctenocalanus_sp_cf_citer_2    | Amphipod        | Copepod         | 0.00000  | 0.1044 | 0.0657 | 286   | 2845  | 1684 | FALSE      | 25168 | 286      | FALSE    | 6            | 0.250         |
| rhincalanus_gigas             | ctenocalanus_sp_cf_citer_2    | Copepod         | Copepod         | 0.00000  | 0.0908 | 0.0657 | 194   | 2528  | 1776 | TRUE       | 25485 | 194      | FALSE    | 6            | 0.300         |
| radiozoa                      | ctenocalanus_sp_cf_citer_2    | Other           | Copepod         | 0.00000  | 0.0741 | 0.0657 | 292   | 1931  | 1678 | FALSE      | 26082 | 292      | FALSE    | 5            | 0.385         |
| chaetognath_indet             | thysanoessa_macrura_furcilia  | Chaetognath     | Krill           | 0.00000  | 0.1168 | 0.0655 | 205   | 3298  | 1760 | FALSE      | 24720 | 205      | FALSE    | 14           | 0.636         |
| metridia_lucens               | thysanoessa_macrura_furcilia  | Copepod         | Krill           | 0.00000  | 0.1060 | 0.0655 | 198   | 2981  | 1767 | FALSE      | 25037 | 198      | FALSE    | 14           | 0.667         |
| radiozoa                      | thysanoessa_macrura_furcilia  | Other           | Krill           | 0.00000  | 0.0741 | 0.0655 | 34    | 2189  | 1931 | FALSE      | 25829 | 34       | FALSE    | 8            | 0.400         |
| small_calanoid_copepods       | thysanoessa_macrura_f1        | Copepod         | Krill           | 0.00000  | 0.8941 | 0.0631 | 1870  | 24939 | 22   | FALSE      | 3152  | 22       | FALSE    | 15           | 0.652         |
| limacina_sp                   | thysanoessa_macrura_f1        | Pteropod        | Krill           | 0.00000  | 0.2802 | 0.0631 | 784   | 7616  | 1108 | FALSE      | 20475 | 784      | FALSE    | 15           | 0.682         |
| clausocalanus_laticeps        | thysanoessa_macrura_f1        | Copepod         | Krill           | 0.00000  | 0.2775 | 0.0631 | 896   | 7424  | 996  | FALSE      | 20667 | 896      | FALSE    | 15           | 0.938         |
| hyperiidae_indet              | thysanoessa_macrura_f1        | Amphipod        | Krill           | 0.00000  | 0.1171 | 0.0631 | 339   | 3171  | 1553 | FALSE      | 24920 | 339      | FALSE    | 15           | 0.714         |
| metridia_lucens               | thysanoessa_macrura_f1        | Copepod         | Krill           | 0.00000  | 0.1060 | 0.0631 | 385   | 2794  | 1507 | FALSE      | 25297 | 385      | FALSE    | 15           | 0.789         |
| themisto_gaudichaudii         | thysanoessa_macrura_f1        | Amphipod        | Krill           | 0.00000  | 0.1044 | 0.0631 | 257   | 2874  | 1635 | FALSE      | 25217 | 257      | FALSE    | 15           | 0.625         |
| radiozoa                      | thysanoessa_macrura_f1        | Other           | Krill           | 0.00000  | 0.0741 | 0.0631 | 211   | 2012  | 1681 | FALSE      | 26079 | 211      | FALSE    | 10           | 0.588         |
| egg_indet                     | thysanoessa_macrura_f1        | Other           | Krill           | 0.00000  | 0.0739 | 0.0631 | 201   | 2015  | 1691 | FALSE      | 26076 | 201      | FALSE    | 15           | 0.882         |
| thysanoessa_macrura_f6        | thysanoessa_macrura_f1        | Krill           | Krill           | 0.00000  | 0.0728 | 0.0631 | 180   | 2004  | 1712 | TRUE       | 26087 | 180      | FALSE    | 15           | 1.000         |
| foraminifera                  | euphausiidae_calyptopis_indet | Foraminifera    | Krill           | 0.00000  | 0.5150 | 0.0613 | 1094  | 14346 | 743  | FALSE      | 13800 | 743      | FALSE    | 19           | 0.905         |
| copepod_nauplius_indet        | euphausiidae_calyptopis_indet | Copepod         | Krill           | 0.00000  | 0.3308 | 0.0613 | 732   | 9186  | 1105 | FALSE      | 18960 | 732      | FALSE    | 16           | 0.842         |
| ctenocalanus_sp_cf_citer      | euphausiidae_calyptopis_indet | Copepod         | Krill           | 0.00000  | 0.1998 | 0.0613 | 437   | 5554  | 1400 | FALSE      | 22592 | 437      | FALSE    | 12           | 0.600         |
| radiozoa                      | euphausiidae_calyptopis_indet | Other           | Krill           | 0.00000  | 0.0741 | 0.0613 | 255   | 1968  | 1582 | FALSE      | 26178 | 255      | FALSE    | 12           | 0.632         |
| small_calanoid_copepods       | eukrohnia_hamata              | Copepod         | Chaetognath     | 0.00000  | 0.8941 | 0.0545 | 1526  | 25283 | 108  | FALSE      | 3066  | 108      | FALSE    | 20           | 0.870         |
| foraminifera                  | eukrohnia_hamata              | Foraminifera    | Chaetognath     | 0.00000  | 0.5150 | 0.0545 | 908   | 14532 | 726  | FALSE      | 13817 | 726      | FALSE    | 20           | 0.952         |
| rhincalanus_gigas_nauplius    | eukrohnia_hamata              | Copepod         | Chaetognath     | 0.00000  | 0.2821 | 0.0545 | 383   | 8076  | 1251 | FALSE      | 20273 | 383      | FALSE    | 20           | 1.000         |
| clausocalanus_laticeps        | eukrohnia_hamata              | Copepod         | Chaetognath     | 0.00000  | 0.2775 | 0.0545 | 565   | 7755  | 1069 | FALSE      | 20594 | 565      | FALSE    | 16           | 0.800         |
| calanoides_acutus             | eukrohnia_hamata              | Copepod         | Chaetognath     | 0.00000  | 0.1624 | 0.0545 | 293   | 4575  | 1341 | FALSE      | 23774 | 293      | FALSE    | 20           | 0.909         |
| euphausiidae_furcilia_indet   | eukrohnia_hamata              | Krill           | Chaetognath     | 0.00000  | 0.1233 | 0.0545 | 247   | 3451  | 1387 | FALSE      | 24898 | 247      | FALSE    | 19           | 0.950         |
| metridia_lucens               | eukrohnia_hamata              | Copepod         | Chaetognath     | 0.00000  | 0.1060 | 0.0545 | 268   | 2911  | 1366 | FALSE      | 25438 | 268      | FALSE    | 19           | 0.950         |
| themisto_gaudichaudii         | eukrohnia_hamata              | Amphipod        | Chaetognath     | 0.00000  | 0.1044 | 0.0545 | 185   | 2946  | 1449 | FALSE      | 25403 | 185      | FALSE    | 20           | 0.833         |
| radiozoa                      | eukrohnia_hamata              | Other           | Chaetognath     | 0.00000  | 0.0741 | 0.0545 | 90    | 2133  | 1544 | FALSE      | 26216 | 90       | FALSE    | 12           | 0.600         |
| ctenocalanus_sp_cf_citer_2    | eukrohnia_hamata              | Copepod         | Chaetognath     | 0.00000  | 0.0657 | 0.0545 | 95    | 1875  | 1539 | FALSE      | 26474 | 95       | FALSE    | 6            | 0.300         |
| thysanoessa_macrura_f1        | eukrohnia_hamata              | Krill           | Chaetognath     | 0.00000  | 0.0631 | 0.0545 | 105   | 1787  | 1529 | FALSE      | 26562 | 105      | FALSE    | 15           | 0.750         |
| euphausiidae_calyptopis_indet | eukrohnia_hamata              | Krill           | Chaetognath     | 0.00000  | 0.0613 | 0.0545 | 152   | 1685  | 1482 | FALSE      | 26664 | 152      | FALSE    | 19           | 0.950         |
+-------------------------------+-------------------------------+-----------------+-----------------+----------+--------+--------+-------+-------+------+------------+-------+----------+----------+--------------+---------------+
