+-------------------------------+-------------------------------+-----------------+-----------------+----------+--------+--------+-------+-------+------+------------+-------+----------+----------+--------------+---------------+
| sp1                           | sp2                           | grp1            | grp2            | theta    | prev1  | prev2  | n11   | n10   | n01  | same_group | n00   | min_cell | selected | years_shared | years_jaccard |
| calanoides_acutus             | neocalanus_tonsus             | Copepod         | Copepod         | -0.75020 | 0.1624 | 0.0930 | 139   | 4729  | 2648 | TRUE       | 22467 | 139      | TRUE     | 16           | 0.727         |
| limacina_sp                   | ostracoda_indet               | Pteropod        | Other           | 0.74253  | 0.2802 | 0.1587 | 2637  | 5763  | 2122 | FALSE      | 19461 | 2122     | TRUE     | 20           | 0.909         |
| oikopleura_sp                 | chaetognath_indet             | Appendicularian | Chaetognath     | 0.73984  | 0.4227 | 0.1168 | 2369  | 10304 | 1134 | FALSE      | 16176 | 1134     | TRUE     | 20           | 0.952         |
| small_calanoid_copepods       | oikopleura_sp                 | Copepod         | Appendicularian | 0.72439  | 0.8941 | 0.4227 | 12147 | 14662 | 526  | FALSE      | 2648  | 526      | TRUE     | 21           | 0.913         |
| calanus_simillimus            | ostracoda_indet               | Copepod         | Other           | 0.72257  | 0.4924 | 0.1587 | 3452  | 11313 | 1307 | FALSE      | 13911 | 1307     | TRUE     | 20           | 0.952         |
| copepod_nauplius_indet        | thysanoessa_macrura_f1        | Copepod         | Krill           | 0.72253  | 0.3308 | 0.0631 | 1121  | 8797  | 771  | FALSE      | 19294 | 771      | TRUE     | 15           | 0.938         |
| calanus_simillimus            | ctenocalanus_sp_cf_citer_2    | Copepod         | Copepod         | 0.71849  | 0.4924 | 0.0657 | 1346  | 13419 | 624  | TRUE       | 14594 | 624      | TRUE     | 6            | 0.286         |
| calanus_simillimus            | clausocalanus_laticeps        | Copepod         | Copepod         | 0.71577  | 0.4924 | 0.2775 | 6146  | 8619  | 2174 | TRUE       | 13044 | 2174     | TRUE     | 16           | 0.762         |
| small_calanoid_copepods       | fritillaria_sp                | Copepod         | Appendicularian | 0.71462  | 0.8941 | 0.5238 | 14992 | 11817 | 714  | FALSE      | 2460  | 714      | TRUE     | 20           | 0.870         |
| oithona_similis               | limacina_sp                   | Copepod         | Pteropod        | 0.69332  | 0.9206 | 0.2802 | 8213  | 19389 | 187  | FALSE      | 2194  | 187      | TRUE     | 21           | 0.955         |
| oithona_similis               | clausocalanus_laticeps        | Copepod         | Copepod         | 0.69030  | 0.9206 | 0.2775 | 8250  | 19352 | 70   | TRUE       | 2311  | 70       | TRUE     | 16           | 0.762         |
| calanus_simillimus            | rhincalanus_gigas             | Copepod         | Copepod         | 0.69004  | 0.4924 | 0.0908 | 2194  | 12571 | 528  | TRUE       | 14690 | 528      | TRUE     | 20           | 0.952         |
| limacina_sp                   | thysanoessa_macrura_f6        | Pteropod        | Krill           | 0.68408  | 0.2802 | 0.0728 | 1247  | 7153  | 937  | FALSE      | 20646 | 937      | TRUE     | 15           | 0.682         |
| limacina_sp                   | thysanoessa_macrura_furcilia  | Pteropod        | Krill           | 0.68380  | 0.2802 | 0.0655 | 889   | 7511  | 1076 | FALSE      | 20507 | 889      | TRUE     | 15           | 0.652         |
| copepod_nauplius_indet        | thysanoessa_macrura_f6        | Copepod         | Krill           | -0.67759 | 0.3308 | 0.0728 | 598   | 9320  | 1586 | FALSE      | 18479 | 598      | TRUE     | 15           | 0.938         |
| clausocalanus_brevipes        | radiozoa                      | Copepod         | Other           | 0.67593  | 0.3716 | 0.0741 | 1721  | 9420  | 502  | FALSE      | 18340 | 502      | TRUE     | 10           | 0.556         |
| oikopleura_sp                 | neocalanus_tonsus             | Appendicularian | Copepod         | 0.65973  | 0.4227 | 0.0930 | 1621  | 11052 | 1166 | FALSE      | 16144 | 1166     | TRUE     | 16           | 0.762         |
| ctenocalanus_sp_cf_citer      | neocalanus_tonsus             | Copepod         | Copepod         | 0.65649  | 0.1998 | 0.0930 | 745   | 5246  | 2042 | TRUE       | 21950 | 745      | TRUE     | 12           | 0.706         |
| calanoides_acutus             | thysanoessa_macrura_furcilia  | Copepod         | Krill           | 0.64681  | 0.1624 | 0.0655 | 464   | 4404  | 1501 | FALSE      | 23614 | 464      | TRUE     | 15           | 0.652         |
